Mz,RT,Mode,Adduct,Neutral_Mass,Library_Match,KEGG_ID,Compound_Name,Exact_Mass,PPM_Error,Formula,SMILES,PubChem_CID,ChEBI_ID,Pathways
591.3669,64.0094,POS,[M+NH4]+,573.333077,KEGG,C09997,Amphibine A,573.3315,-2.741861691001165,,,12183,2680,
591.4093,37.5041,POS,[M+Na]+,568.420082,KEGG,C06098,Zeaxanthin,568.428,13.984375731561988,,,8363,27547,map00906;map00999;map01062;map01070;map01100;map01110
593.2795,86.0733,POS,[M+K]+,554.316342,KEGG,C11961,"6,8a-Seco-6,8a-deoxy-5-oxoavermectin ''1b'' aglycone",554.3244,14.453840511178548,,,14122,138850,map00522;map01100;map01110
593.3646,21.0406,POS,[M+H]+,592.35732353312,KEGG,C04859,Nuatigenin 3beta-D-glucopyranoside,592.3611,6.431028584607524,,,7414,15575,
593.3646,30.0557,POS,[M+H]+,592.35732353312,KEGG,C04859,Nuatigenin 3beta-D-glucopyranoside,592.3611,6.431028584607524,,,7414,15575,
593.3646,31.2478,POS,[M+H]+,592.35732353312,KEGG,C04859,Nuatigenin 3beta-D-glucopyranoside,592.3611,6.431028584607524,,,7414,15575,
593.3646,32.3865,POS,[M+H]+,592.35732353312,KEGG,C04859,Nuatigenin 3beta-D-glucopyranoside,592.3611,6.431028584607524,,,7414,15575,
593.3646,43.82,POS,[M+H]+,592.35732353312,KEGG,C04859,Nuatigenin 3beta-D-glucopyranoside,592.3611,6.431028584607524,,,7414,15575,
593.3646,64.104,POS,[M+H]+,592.35732353312,KEGG,C04859,Nuatigenin 3beta-D-glucopyranoside,592.3611,6.431028584607524,,,7414,15575,
593.3646,74.8378,POS,[M+H]+,592.35732353312,KEGG,C04859,Nuatigenin 3beta-D-glucopyranoside,592.3611,6.431028584607524,,,7414,15575,
593.3646,87.9519,POS,[M+H]+,592.35732353312,KEGG,C04859,Nuatigenin 3beta-D-glucopyranoside,592.3611,6.431028584607524,,,7414,15575,
594.2903,89.9025,POS,[M+NH4]+,576.256477,KEGG,C09667,Tiliacorine,576.2624,10.31658686241019,,,11857,9597,
601.2932,14.1579,POS,[M-H2O+H]+,582.275359,KEGG,C06512,2'-Norberbamunine,582.273,-4.073674015864852,,,8743,845,map00950
604.3914,82.3874,POS,[M+NH4]+,586.357577,KEGG,C11969,"6,8a-Seco-6,8a-deoxy-5-oxoavermectin ''2a'' aglycone",586.3506,-11.951751414038004,,,14130,138851,map00522
605.4223,86.5314,POS,[M+Na]+,582.4330819999999,KEGG,C13493,Polidocanol,582.4343,2.0877934954133095,,,853875,46859,
620.4038,64.0612,POS,[M+NH4]+,602.3699770000001,KEGG,C09929,Garcinol,602.3607,-15.336089700393185,,,12115,5276,
621.3613,29.0794,POS,[M-H2O+H]+,602.343459,KEGG,C11956,Avermectin A2b aglycone,602.3455,3.360209145878866,,,14117,29532,map00522
621.4048,20.3666,POS,[M+K]+,582.441642,KEGG,C13493,Polidocanol,582.4343,-12.608988558529504,,,853875,46859,
629.2222,42.775,POS,[M+Na]+,606.232982,KEGG,C08750,Bruceantinol,606.2312,-2.8718331924048703,,,10943,3189,
635.3925,19.3477,POS,[M-H2O+H]+,616.3746590000001,KEGG,C09085,Calebassone,616.3777,4.9774921067687,,,11277,3318,
635.4034,44.6581,POS,[M-H2O+H]+,616.3855590000001,KEGG,C09085,Calebassone,616.3777,-12.706332725760062,,,11277,3318,
635.4254,26.9765,POS,[M-H2O+H]+,616.407559,KEGG,C05151,12-O-Tetradecanoylphorbol 13-acetate,616.3975,-16.287924853308947,,,7569,37537,map04613
635.4254,41.3443,POS,[M-H2O+H]+,616.407559,KEGG,C05151,12-O-Tetradecanoylphorbol 13-acetate,616.3975,-16.287924853308947,,,7569,37537,map04613
